Order Date,Are you a student?,Did a UJC Ambassador Invite you to the Summit?,Did a UJC Advisor Invite you to the Summit?,How did you hear about that hear about the Summit?
2025-03-02 11:22:59-05:00,No,No,No,Other (Please describe in next question)
2025-03-02 18:45:03-05:00,No,No,No,LinkedIn
2025-03-02 19:44:35-05:00,,,,
2025-03-02 19:45:27-05:00,Yes,No,No,Other (Please describe in next question)
2025-03-02 21:27:08-05:00,No,No,No,Other (Please describe in next question)
2025-03-02 21:32:11-05:00,No,No,No,Other (Please describe in next question)
2025-03-02 22:51:03-05:00,No,No,Michael Eric Dyson,Other (Please describe in next question)
2025-03-03 03:42:31-05:00,No,No,No,LinkedIn
2025-03-03 07:03:51-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 10:08:29-05:00,,,,
2025-03-03 10:59:08-05:00,No,No,Michelle Kenney,Other (Please describe in next question)
2025-03-03 10:59:35-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 11:08:56-05:00,No,No,No,
2025-03-03 13:03:08-05:00,No,No,Benjamin Crump,Other (Please describe in next question)
2025-03-03 13:05:17-05:00,Yes,No,No,
2025-03-03 13:05:57-05:00,No,Jackson W.,,
2025-03-03 13:08:03-05:00,No,No,No,
2025-03-03 13:19:20-05:00,No,No,No,Facebook
2025-03-03 13:19:55-05:00,,,,
2025-03-03 13:21:37-05:00,No,Jackson W.,,
2025-03-03 13:21:37-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 13:25:45-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 13:28:58-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 13:29:16-05:00,,,,
2025-03-03 13:29:40-05:00,No,Jackson W.,,
2025-03-03 13:30:09-05:00,,,,
2025-03-03 13:30:40-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 13:33:13-05:00,,,,
2025-03-03 13:33:00-05:00,No,Jackson W.,,
2025-03-03 13:34:47-05:00,No,Amirah A.,,
2025-03-03 13:35:17-05:00,,,,
2025-03-03 13:33:55-05:00,,,,
2025-03-03 13:35:58-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 13:36:39-05:00,Yes,No,No,Other (Please describe in next question)
2025-03-03 13:36:18-05:00,,,,
2025-03-03 13:37:17-05:00,No,Moses K.,,
2025-03-03 13:38:25-05:00,No,No,No,Facebook
2025-03-03 13:39:10-05:00,No,Moses K.,,
2025-03-03 13:39:13-05:00,No,Jackson W.,,
2025-03-03 13:39:24-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 13:39:31-05:00,No,Jackson W.,,
2025-03-03 13:40:20-05:00,Yes,No,No,Other (Please describe in next question)
2025-03-03 13:40:21-05:00,No,Jackson W.,,
2025-03-03 13:40:54-05:00,Yes,No,No,Other (Please describe in next question)
2025-03-03 13:40:49-05:00,Yes,Moses K.,,
2025-03-03 13:41:45-05:00,No,No,No,Facebook
2025-03-03 13:41:32-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 13:42:28-05:00,Yes,No,No,
2025-03-03 13:42:23-05:00,No,No,No,
2025-03-03 13:42:41-05:00,No,No,No,LinkedIn
2025-03-03 13:42:36-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 13:45:05-05:00,,,,
2025-03-03 13:45:34-05:00,No,No,No,Facebook
2025-03-03 13:46:03-05:00,Yes,No,No,Other (Please describe in next question)
2025-03-03 13:46:05-05:00,No,No,No,LinkedIn
2025-03-03 13:47:42-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 13:48:52-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 13:49:30-05:00,No,No,No,
2025-03-03 13:50:50-05:00,Yes,No,No,Other (Please describe in next question)
2025-03-03 13:52:09-05:00,,,,
2025-03-03 13:53:17-05:00,,,,
2025-03-03 13:53:33-05:00,No,No,No,
2025-03-03 13:54:05-05:00,No,Jackson W.,,
2025-03-03 13:53:48-05:00,No,No,No,Facebook
2025-03-03 13:54:10-05:00,No,Amirah A.,,
2025-03-03 13:56:49-05:00,,,,
2025-03-03 13:55:56-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 13:58:32-05:00,,,,
2025-03-03 13:58:03-05:00,No,Jackson W.,,
2025-03-03 13:58:37-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 13:58:29-05:00,No,Moses K.,,
2025-03-03 13:58:37-05:00,Yes,Moses K.,,
2025-03-03 13:59:48-05:00,,,,
2025-03-03 14:00:08-05:00,Yes,Moses K.,,
2025-03-03 13:59:18-05:00,Yes,No,No,Other (Please describe in next question)
2025-03-03 14:01:08-05:00,No,No,No,
2025-03-03 14:01:24-05:00,No,No,No,
2025-03-03 14:03:49-05:00,,,,
2025-03-03 14:04:31-05:00,,,,
2025-03-03 14:04:40-05:00,No,No,Jessica Jackson,Other (Please describe in next question)
2025-03-03 14:05:35-05:00,No,No,No,Facebook
2025-03-03 14:07:23-05:00,,,,
2025-03-03 14:07:19-05:00,No,Moses K.,,
2025-03-03 14:07:34-05:00,No,No,No,
2025-03-03 14:10:46-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 14:13:05-05:00,No,Moses K.,,
2025-03-03 14:16:08-05:00,No,Moses K.,,
2025-03-03 14:16:40-05:00,No,Moses K.,,
2025-03-03 14:17:23-05:00,No,No,Dan Slepian,
2025-03-03 14:17:39-05:00,No,Moses K.,,
2025-03-03 14:17:58-05:00,No,No,Charlamagne Tha God,Other (Please describe in next question)
2025-03-03 14:17:56-05:00,No,Moses K.,,
2025-03-03 14:18:47-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 14:18:25-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 14:19:37-05:00,No,Jackson W.,,
2025-03-03 14:19:57-05:00,No,Breqlyne J.,,
2025-03-03 14:21:21-05:00,No,Jackson W.,,
2025-03-03 14:21:42-05:00,No,No,No,Facebook
2025-03-03 14:22:28-05:00,No,No,No,Facebook
2025-03-03 14:22:42-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 14:25:45-05:00,No,No,No,Facebook
2025-03-03 14:26:05-05:00,No,Moses K.,,
2025-03-03 14:27:36-05:00,No,No,No,Facebook
2025-03-03 14:27:38-05:00,Yes,No,No,Other (Please describe in next question)
2025-03-03 14:27:55-05:00,No,Moses K.,,
2025-03-03 14:28:48-05:00,,,,
2025-03-03 14:29:23-05:00,No,No,No,Threads
2025-03-03 14:23:40-05:00,No,Jackson W.,,
2025-03-03 14:28:45-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 14:29:50-05:00,No,Jackson W.,,
2025-03-03 14:31:03-05:00,No,No,No,
2025-03-03 14:31:46-05:00,No,No,No,LinkedIn
2025-03-03 14:31:52-05:00,,,,
2025-03-03 14:32:38-05:00,Yes,No,No,Other (Please describe in next question)
2025-03-03 14:35:14-05:00,,,,
2025-03-03 14:35:59-05:00,,,,
2025-03-03 14:36:50-05:00,Yes,Jackson W.,,
2025-03-03 14:37:42-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 14:37:31-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 14:38:07-05:00,Yes,No,No,Other (Please describe in next question)
2025-03-03 14:38:45-05:00,No,No,No,Threads
2025-03-03 14:38:22-05:00,Yes,Moses K.,,
2025-03-03 14:39:07-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 14:39:29-05:00,Yes,Moses K.,,
2025-03-03 14:39:57-05:00,,,,
2025-03-03 14:41:19-05:00,No,Moses K.,,
2025-03-03 14:42:10-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 14:42:22-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 14:46:05-05:00,No,Moses K.,,
2025-03-03 14:45:39-05:00,,,,
2025-03-03 14:46:16-05:00,No,Moses K.,,
2025-03-03 14:47:38-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 14:50:04-05:00,No,No,No,TikTok
2025-03-03 14:49:48-05:00,No,Moses K.,,
2025-03-03 14:51:06-05:00,,,,
2025-03-03 14:51:07-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 14:51:53-05:00,No,Amirah A.,,
2025-03-03 14:52:11-05:00,No,No,No,LinkedIn
2025-03-03 14:52:18-05:00,,,,
2025-03-03 14:52:29-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 14:52:54-05:00,Yes,No,No,
2025-03-03 14:54:06-05:00,No,Jayla N.,,
2025-03-03 14:54:55-05:00,No,No,No,
2025-03-03 14:55:24-05:00,No,Troy S.,,
2025-03-03 14:56:27-05:00,No,No,Desiree Perez,Other (Please describe in next question)
2025-03-03 14:57:21-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 14:57:55-05:00,No,Moses K.,,
2025-03-03 14:58:20-05:00,No,Moses K.,,
2025-03-03 14:59:21-05:00,Yes,No,No,Other (Please describe in next question)
2025-03-03 14:58:41-05:00,No,Amirah A.,,
2025-03-03 15:01:12-05:00,No,No,No,Facebook
2025-03-03 15:02:47-05:00,No,Jayla N.,,
2025-03-03 15:03:56-05:00,No,Amirah A.,,
2025-03-03 15:03:41-05:00,No,No,No,
2025-03-03 15:06:16-05:00,No,No,No,
2025-03-03 15:06:26-05:00,No,No,No,
2025-03-03 15:08:35-05:00,,,,
2025-03-03 15:08:20-05:00,Yes | No,No,Charlamagne Tha God,
2025-03-03 15:11:21-05:00,No,Amirah A.,,
2025-03-03 15:11:21-05:00,No,Amirah A.,,
2025-03-03 15:12:39-05:00,,,,
2025-03-03 15:13:06-05:00,No,No,Dan Slepian,Other (Please describe in next question)
2025-03-03 15:13:28-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 15:14:40-05:00,,,,
2025-03-03 15:15:13-05:00,,,,
2025-03-03 15:16:21-05:00,No,Moses K.,,
2025-03-03 15:17:10-05:00,No,Amirah A.,,
2025-03-03 15:17:30-05:00,No,Moses K.,,
2025-03-03 15:19:09-05:00,No,No,Charlamagne Tha God,Other (Please describe in next question)
2025-03-03 15:19:52-05:00,No,No,No,
2025-03-03 15:22:40-05:00,,,,
2025-03-03 15:24:49-05:00,No,Jackson W.,,
2025-03-03 15:25:26-05:00,No,No,No,Facebook
2025-03-03 15:26:21-05:00,,,,
2025-03-03 15:28:02-05:00,,,,
2025-03-03 15:28:22-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 15:29:15-05:00,No,Moses K.,,
2025-03-03 15:29:04-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 15:29:52-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 15:29:43-05:00,Yes,Moses K.,,
2025-03-03 15:33:25-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 15:34:33-05:00,No,No,Marcia L. Dyson,Other (Please describe in next question)
2025-03-03 15:35:10-05:00,No,No,No,Facebook
2025-03-03 15:35:03-05:00,No,Moses K.,,
2025-03-03 15:37:41-05:00,Yes,No,No,
2025-03-03 15:41:01-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 15:42:34-05:00,,,,
2025-03-03 15:43:21-05:00,No,No,No,LinkedIn
2025-03-03 15:42:51-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 15:44:09-05:00,No,No,Michael Eric Dyson,Other (Please describe in next question)
2025-03-03 15:44:04-05:00,No,No,No,TikTok
2025-03-03 15:44:41-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 15:44:01-05:00,,,,
2025-03-03 15:45:18-05:00,Yes,No,No,Threads
2025-03-03 15:45:21-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 15:45:57-05:00,Yes,No,No,LinkedIn
2025-03-03 15:45:46-05:00,,,,
2025-03-03 15:44:56-05:00,No,No,Van Jones,LinkedIn
2025-03-03 15:47:18-05:00,,,,
2025-03-03 15:47:33-05:00,,,,
2025-03-03 15:47:25-05:00,No,Moses K.,,
2025-03-03 15:49:11-05:00,No,Breqlyne J.,,
2025-03-03 15:49:38-05:00,,,,
2025-03-03 15:50:18-05:00,No,No,No,
2025-03-03 15:50:39-05:00,No,Jackson W.,,
2025-03-03 15:51:00-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 15:50:59-05:00,No,No,No,Facebook
2025-03-03 15:50:46-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 15:51:53-05:00,No,Moses K.,,
2025-03-03 15:51:44-05:00,Yes,Moses K.,,
2025-03-03 15:51:54-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 15:54:26-05:00,No,Jayla N.,,
2025-03-03 15:55:29-05:00,No,Moses K.,,
2025-03-03 15:57:02-05:00,No,Jackson W.,,
2025-03-03 15:59:35-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 16:06:57-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 16:06:40-05:00,Yes,No,No,Other (Please describe in next question)
2025-03-03 16:07:50-05:00,No,No,No,
2025-03-03 16:11:14-05:00,Yes,Moses K.,,
2025-03-03 16:11:23-05:00,No,Raven C.,,
2025-03-03 16:13:42-05:00,No,No,No,
2025-03-03 16:14:09-05:00,,,,
2025-03-03 16:15:36-05:00,,,,
2025-03-03 16:21:49-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 16:22:56-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 16:24:05-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 16:25:24-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 16:27:16-05:00,,,,
2025-03-03 16:28:47-05:00,No,No,No,
2025-03-03 16:28:40-05:00,No,Moses K.,,
2025-03-03 16:30:03-05:00,No,No,Jonathan S. Abady,Other (Please describe in next question)
2025-03-03 16:24:33-05:00,No,No,No,
2025-03-03 16:34:17-05:00,,,,
2025-03-03 16:37:46-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 16:43:27-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 16:44:42-05:00,No,No,No,
2025-03-03 16:45:02-05:00,,,,
2025-03-03 16:47:12-05:00,,,,
2025-03-03 16:47:11-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 16:48:52-05:00,No,No,No,Facebook
2025-03-03 16:48:47-05:00,Yes,No,No,Other (Please describe in next question)
2025-03-03 16:49:48-05:00,,,,
2025-03-03 16:51:20-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 16:50:54-05:00,No,Jackson W.,,
2025-03-03 16:51:32-05:00,No,Amirah A.,,
2025-03-03 16:53:37-05:00,No,Moses K.,,
2025-03-03 16:54:47-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 16:54:16-05:00,No,No,No,TikTok
2025-03-03 16:55:32-05:00,,,,
2025-03-03 16:55:14-05:00,No,Moses K.,,
2025-03-03 16:58:33-05:00,No,Moses K.,,
2025-03-03 17:03:38-05:00,No,Moses K.,,
2025-03-03 17:04:28-05:00,Yes,No,No,Facebook
2025-03-03 17:02:51-05:00,,,,
2025-03-03 17:05:22-05:00,No,Moses K.,,
2025-03-03 17:06:16-05:00,No,Amirah A.,,
2025-03-03 17:06:52-05:00,No,No,No,
2025-03-03 17:06:32-05:00,No,Moses K.,,
2025-03-03 17:09:38-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 17:12:41-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 17:19:40-05:00,No,No,Charlamagne Tha God,Threads
2025-03-03 17:21:06-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 17:21:02-05:00,No,Jackson W.,,
2025-03-03 17:21:51-05:00,No,Jackson W.,,
2025-03-03 17:23:03-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 17:24:14-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 17:23:55-05:00,No,Moses K.,,
2025-03-03 17:33:08-05:00,No,Moses K.,,
2025-03-03 17:34:08-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 17:34:21-05:00,,,,
2025-03-03 17:34:58-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 17:36:08-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 17:37:39-05:00,No,Jayla N.,,
2025-03-03 17:51:38-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 17:57:02-05:00,No,Moses K.,,
2025-03-03 17:58:00-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 17:58:39-05:00,No,No,No,
2025-03-03 18:02:35-05:00,No,Moses K.,,
2025-03-03 18:04:40-05:00,No,No,No,Twitter/X
2025-03-03 18:08:02-05:00,No,No,No,LinkedIn
2025-03-03 18:22:47-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 18:25:23-05:00,No,No,No,Facebook
2025-03-03 18:27:31-05:00,No,Moses K.,,
2025-03-03 18:28:45-05:00,Yes,No,No,Twitter/X
2025-03-03 18:30:52-05:00,No,No,No,
2025-03-03 18:31:40-05:00,No,Moses K.,,
2025-03-03 18:31:42-05:00,,,,
2025-03-03 18:50:49-05:00,No,Moses K.,,
2025-03-03 18:51:04-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 18:53:37-05:00,No,No,No,LinkedIn
2025-03-03 18:56:03-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 19:01:09-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 19:13:55-05:00,No,Jackson W.,,
2025-03-03 19:21:59-05:00,No,No,No,
2025-03-03 19:36:41-05:00,,,,
2025-03-03 19:53:19-05:00,,,,
2025-03-03 19:56:13-05:00,No,Amirah A.,,
2025-03-03 19:57:49-05:00,No,No,No,
2025-03-03 19:57:21-05:00,,,,
2025-03-03 20:31:02-05:00,No,No,No,Threads
2025-03-03 20:35:20-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 20:40:03-05:00,No,Moses K.,,
2025-03-03 20:47:54-05:00,No,No,No,Facebook
2025-03-03 20:53:38-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 21:08:46-05:00,No,No,No,
2025-03-03 21:07:08-05:00,No,Moses K.,,
2025-03-03 21:10:36-05:00,,,,
2025-03-03 21:12:05-05:00,,,,
2025-03-03 21:36:59-05:00,No,No,Desiree Perez,
2025-03-03 21:37:38-05:00,No,Moses K.,,
2025-03-03 21:53:53-05:00,No,No,No,Facebook
2025-03-03 22:03:17-05:00,Yes,No,No,LinkedIn
2025-03-03 22:07:39-05:00,No,No,No,
2025-03-03 22:08:24-05:00,No,No,No,
2025-03-03 22:12:13-05:00,No,No,No,
2025-03-03 22:27:10-05:00,No,No,No,
2025-03-03 22:36:12-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 22:43:38-05:00,No,No,No,Facebook
2025-03-03 22:47:42-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 22:50:24-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 22:53:06-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 23:33:38-05:00,No,No,No,Other (Please describe in next question)
2025-03-03 23:34:16-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 00:00:32-05:00,No,Jackson W.,,
2025-03-04 00:00:38-05:00,Yes,Troy S.,,
2025-03-04 00:41:48-05:00,No,No,No,LinkedIn
2025-03-04 01:02:30-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 01:16:18-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 01:32:52-05:00,No,No,No,
2025-03-04 02:15:43-05:00,Yes,Jackson W.,,
2025-03-04 02:24:57-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 02:29:48-05:00,No,No,No,Facebook
2025-03-04 03:26:47-05:00,No,No,No,
2025-03-04 03:29:01-05:00,No,Jackson W.,,
2025-03-04 03:58:27-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 06:04:40-05:00,Yes,Jackson W.,,
2025-03-04 06:09:38-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 06:26:45-05:00,No,Amirah A.,,
2025-03-04 06:33:47-05:00,No,No,Tamika Mallory,Other (Please describe in next question)
2025-03-04 06:53:44-05:00,No,No,Tamika Mallory,Other (Please describe in next question)
2025-03-04 06:57:36-05:00,Yes,No,Tamika Mallory,Other (Please describe in next question)
2025-03-04 07:02:01-05:00,No,Troy S.,,
2025-03-04 07:06:29-05:00,No,No,No,
2025-03-04 07:10:57-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 07:28:59-05:00,,,,
2025-03-04 07:43:38-05:00,No,No,No,
2025-03-04 07:49:17-05:00,No,No,No,
2025-03-04 08:02:11-05:00,No,Jackson W.,,
2025-03-04 08:09:40-05:00,,,,
2025-03-04 08:11:32-05:00,No,No,No,Facebook
2025-03-04 08:14:04-05:00,No,No,No,
2025-03-04 08:37:18-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 08:45:45-05:00,No,Jackson W.,,
2025-03-04 08:45:48-05:00,No,Moses K.,,
2025-03-04 08:52:10-05:00,No,No,No,
2025-03-04 08:57:05-05:00,No,No,No,
2025-03-04 09:09:22-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 09:11:56-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 09:13:12-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 09:19:49-05:00,,,,
2025-03-04 09:25:03-05:00,Yes,Jayla N.,,
2025-03-04 09:25:28-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 09:28:16-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 09:27:03-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 09:42:34-05:00,Yes,No,No,Other (Please describe in next question)
2025-03-04 09:44:01-05:00,No,Breqlyne J.,,
2025-03-04 10:08:07-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 10:18:43-05:00,No,No,No,
2025-03-04 10:19:32-05:00,No,Amirah A.,,
2025-03-04 10:25:03-05:00,No,No,No,LinkedIn
2025-03-04 10:40:31-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 10:55:18-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 11:10:07-05:00,,,,
2025-03-04 11:11:45-05:00,No,No,No,Threads
2025-03-04 11:24:53-05:00,No,No,No,
2025-03-04 11:27:26-05:00,No,No,Dasha Smith,
2025-03-04 11:39:20-05:00,No,No,Dasha Smith,
2025-03-04 11:41:23-05:00,Yes,No,Tamika Mallory,LinkedIn
2025-03-04 11:45:42-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 11:57:11-05:00,,,,
2025-03-04 11:59:41-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 12:00:10-05:00,,,,
2025-03-04 12:05:12-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 12:06:42-05:00,,,,
2025-03-04 12:19:01-05:00,No,Moses K.,,
2025-03-04 12:27:53-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 12:48:44-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 13:09:03-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 13:13:26-05:00,No,No,No,
2025-03-04 13:15:17-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 14:02:40-05:00,No,No,No,
2025-03-04 14:12:49-05:00,,,,
2025-03-04 14:13:16-05:00,,,,
2025-03-04 14:19:24-05:00,No,Jackson W.,,
2025-03-04 14:21:17-05:00,,,,
2025-03-04 14:23:04-05:00,No,No,No,
2025-03-04 14:26:04-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 14:28:47-05:00,,,,
2025-03-04 14:29:15-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 14:32:31-05:00,,,,
2025-03-04 14:38:34-05:00,,,,
2025-03-04 14:41:51-05:00,Yes,No,No,Other (Please describe in next question)
2025-03-04 14:42:05-05:00,No,Jackson W.,,
2025-03-04 14:43:44-05:00,No,Jackson W.,,
2025-03-04 14:44:58-05:00,,,,
2025-03-04 14:47:20-05:00,No,No,No,
2025-03-04 14:49:26-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 14:52:43-05:00,No,Jackson W.,,
2025-03-04 14:53:21-05:00,No,Jackson W.,,
2025-03-04 14:54:15-05:00,,,,
2025-03-04 14:57:27-05:00,No,No,No,
2025-03-04 14:58:30-05:00,Yes,No,No,
2025-03-04 14:58:28-05:00,No,No,No,
2025-03-04 15:00:53-05:00,Yes,No,No,LinkedIn
2025-03-04 15:01:55-05:00,No,Jackson W.,,
2025-03-04 15:08:22-05:00,No,Jackson W.,,
2025-03-04 15:11:21-05:00,No,Jayla N.,,
2025-03-04 15:12:34-05:00,,,,
2025-03-04 15:13:40-05:00,No,Jackson W.,,
2025-03-04 15:13:37-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 15:13:43-05:00,No,Jayla N.,,
2025-03-04 15:20:08-05:00,,,,
2025-03-04 15:19:58-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 15:20:40-05:00,,,,
2025-03-04 15:26:17-05:00,No,No,No,
2025-03-04 15:27:36-05:00,No,Jackson W.,,
2025-03-04 15:27:17-05:00,,,,
2025-03-04 15:28:23-05:00,No,No,No,Facebook
2025-03-04 15:33:23-05:00,No,No,Topeka K. Sam,
2025-03-04 15:34:39-05:00,,,,
2025-03-04 15:35:18-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 15:40:24-05:00,No,Jackson W.,,
2025-03-04 15:42:53-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 15:44:23-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 15:45:04-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 15:44:51-05:00,No,Jackson W.,,
2025-03-04 15:45:56-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 15:46:17-05:00,,,,
2025-03-04 15:46:53-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 15:48:02-05:00,No,Jackson W.,,
2025-03-04 15:49:55-05:00,,,,
2025-03-04 15:53:57-05:00,No,No,No,
2025-03-04 15:59:59-05:00,No,No,No,
2025-03-04 16:00:47-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 16:04:11-05:00,No,No,No,
2025-03-04 16:04:24-05:00,No,No,No,
2025-03-04 16:04:32-05:00,No,Amirah A.,,
2025-03-04 16:04:54-05:00,No,Jackson W.,,
2025-03-04 16:04:20-05:00,No,No,Charlamagne Tha God,Other (Please describe in next question)
2025-03-04 16:06:34-05:00,Yes,No,Charlamagne Tha God,
2025-03-04 16:07:16-05:00,Yes,No,No,Other (Please describe in next question)
2025-03-04 16:07:49-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 16:07:39-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 16:11:52-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 16:15:40-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 16:16:09-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 16:17:48-05:00,Yes,Jayla N.,,
2025-03-04 16:20:15-05:00,No,Jackson W.,,
2025-03-04 16:22:52-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 16:24:14-05:00,No,Jackson W.,,
2025-03-04 16:24:20-05:00,No,No,No,LinkedIn
2025-03-04 16:24:06-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 16:24:15-05:00,No,No,No,
2025-03-04 16:26:22-05:00,No,No,No,Facebook
2025-03-04 16:26:27-05:00,No,Jackson W.,,
2025-03-04 16:32:54-05:00,Yes,No,No,
2025-03-04 16:34:53-05:00,,,,
2025-03-04 16:39:02-05:00,No,Jackson W.,,
2025-03-04 16:40:24-05:00,Yes,Moses K.,,
2025-03-04 16:41:23-05:00,No,Moses K.,,
2025-03-04 16:41:00-05:00,,,,
2025-03-04 16:44:23-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 16:44:24-05:00,,,,
2025-03-04 16:45:00-05:00,No,No,No,Other (Please describe in next question)
2025-03-04 16:47:36-05:00,No,Moses K.,,
2025-03-04 16:47:32-05:00,No,Jackson W.,,
2025-03-04 16:49:50-05:00,Yes,No,No,Other (Please describe in next question)
2025-03-04 16:55:58-05:00,,,,
2025-03-04 16:58:29-05:00,,,,
