Timestamp,How many students will be attending with your group?,"School State (Please abbreviate, example: NJ for New Jersey)",Ambassador Point of Contact
3/17/2025 11:09:23,50,NJ,Breqlyne Johnson
3/17/2025 11:39:39,52,NJ,Breqlyne Johnson
3/27/2025 11:08:20,10,CT,Breqlyne Johnson
