Date,Name,Attendees,Orders
2025-03-07,"Queens",4,4
2025-03-07,"Quincy",1,1
2025-03-07,"Richmond",1,1
2025-03-07,"Rowlett",1,1
2025-03-07,"Shaker Heights",1,1
2025-03-07,"Silver Spring",2,2
2025-03-07,"Staten Island",2,2
2025-03-07,"The Bronx",7,7
2025-03-07,"Unknown",1,1
2025-03-07,"Valley Stream",1,1
2025-03-07,"Washington",4,4
2025-03-07,"Westwood",1,1
2025-03-06,"Brooklyn",16,16
2025-03-06,"Chicago",1,1
2025-03-06,"Crandall",1,1
2025-03-06,"Hempstead",1,1
2025-03-06,"Hoboken",1,1
2025-03-06,"Hyattsville",1,1
2025-03-06,"Irvington",1,1
2025-03-06,"Madison",2,2
2025-03-06,"Melrose",1,1
2025-03-06,"Merrick",1,1
2025-03-06,"New Orleans",1,1
2025-03-06,"New York",2,2
2025-03-06,"Newark",1,1
2025-03-06,"Oceanside",1,1
2025-03-06,"Pelham",1,1
2025-03-06,"Queens",2,2
2025-03-06,"Staten Island",2,2
2025-03-06,"Stony Brook",1,1
2025-03-06,"Teaneck",1,1
2025-03-06,"The Bronx",1,1
2025-03-06,"Unknown",1,1
2025-03-06,"Washington",1,1
2025-03-06,"Wixom",1,1
2025-03-05,"Albany",1,1
2025-03-05,"Allston",1,1
2025-03-05,"Atlanta",1,1
2025-03-05,"Avon",1,1
2025-03-05,"Brooklyn",26,26
2025-03-05,"Cortlandt Manor",1,1
2025-03-05,"Crawfordsville",1,1
2025-03-05,"Danbury",1,1
2025-03-05,"Decatur",1,1
2025-03-05,"Deer Park",1,1
2025-03-05,"East Islip",1,1
2025-03-05,"Easton",1,1
2025-03-05,"El Monte",1,1
2025-03-05,"Elmont",1,1
2025-03-05,"Hamden",1,1
2025-03-05,"Harrisburg",1,1
2025-03-05,"Hempstead",1,1
2025-03-05,"Henrico",1,1
2025-03-05,"Jacksonville",1,1
2025-03-05,"Las Vegas",1,1
2025-03-05,"Laurelton",1,1
2025-03-05,"Lawrence",1,1
2025-03-05,"Lehi",1,1
2025-03-05,"Montclair",1,1
2025-03-05,"New Rochelle",2,2
2025-03-05,"New York",27,27
2025-03-05,"North Brunswick",1,1
2025-03-05,"Philadelphia",4,4
2025-03-05,"Pittsburgh",1,1
2025-03-05,"Queens",3,3
2025-03-05,"Rocky Hill",1,1
2025-03-05,"Ronkonkoma",1,1
2025-03-05,"San Antonio",1,1
2025-03-05,"Selden",1,1
2025-03-05,"Staten Island",6,6
2025-03-05,"Teaneck",1,1
2025-03-05,"The Bronx",9,9
2025-03-05,"Uniondale",1,1
2025-03-05,"Unknown",1,1
2025-03-05,"Waterbury",1,1
2025-03-05,"West Orange",1,1
2025-03-05,"Westfield",1,1
2025-03-05,"White Plains",2,2
2025-03-05,"Zephyrhills",1,1
2025-03-04,"Atlanta",3,3
2025-03-04,"Baltimore",1,1
2025-03-04,"Bayonne",1,1
2025-03-04,"Bergenfield",2,2
2025-03-04,"Bladensburg",1,1
2025-03-04,"Boston",2,2
2025-03-04,"Bridgeport",1,1
2025-03-04,"Bridgetown",1,1
2025-03-04,"Brooklyn",60,60
2025-03-04,"Carteret",1,1
2025-03-04,"Chester",1,1
2025-03-04,"Chicago",1,1
2025-03-04,"Coram",1,1
2025-03-04,"Cranford",1,1
2025-03-04,"Dallas",1,1
2025-03-04,"Detroit",1,1
2025-03-04,"District Heights",1,1
2025-03-04,"East Northport",1,1
2025-03-04,"Elizabeth",1,1
2025-03-04,"Englewood",1,1
2025-03-04,"Flemington",1,1
2025-03-04,"Guilford",1,1
2025-03-04,"Harrisburg",1,1
2025-03-04,"Hartford",1,1
2025-03-04,"Hasbrouck Heights",1,1
2025-03-04,"Havre de Grace",1,1
2025-03-04,"Hempstead",1,1
2025-03-04,"Hicksville",1,1
2025-03-04,"Hillside",1,1
2025-03-04,"Hoboken",1,1
2025-03-04,"Houston",1,1
2025-03-04,"Huntington Station",1,1
2025-03-04,"Hyattsville",3,3
2025-03-04,"Irvington",2,2
2025-03-04,"Katonah",1,1
2025-03-04,"Los Angeles",2,2
2025-03-04,"Marcus Hook",1,1
2025-03-04,"Massapequa",2,2
2025-03-04,"Medford",1,1
2025-03-04,"Meridianville",1,1
2025-03-04,"Miami",1,1
2025-03-04,"Milwaukee",1,1
2025-03-04,"Mount Holly",1,1
2025-03-04,"Mount Laurel",1,1
2025-03-04,"Mount Vernon",1,1
2025-03-04,"New Canaan",1,1
2025-03-04,"New Castle",1,1
2025-03-04,"New Paltz",2,2
2025-03-04,"New Rochelle",3,3
2025-03-04,"New York",49,49
2025-03-04,"Newark",5,5
2025-03-04,"North Bergen",1,1
2025-03-04,"Orland Park",1,1
2025-03-04,"Orlando",1,1
2025-03-04,"Philadelphia",8,8
2025-03-04,"Phoenix",1,1
2025-03-04,"Piscataway",1,1
2025-03-04,"Plainfield",1,1
2025-03-04,"Pomona",1,1
2025-03-04,"Queens",16,16
2025-03-04,"Ridgewood",1,1
2025-03-04,"Rochester",1,1
2025-03-04,"Roselle",1,1
2025-03-04,"Salt Lake City",1,1
2025-03-04,"San Diego",1,1
2025-03-04,"San Marcos",1,1
2025-03-04,"Silver Spring",2,2
2025-03-04,"Springfield",1,1
2025-03-04,"Stamford",1,1
2025-03-04,"Staten Island",2,2
2025-03-04,"Stroudsburg",1,1
2025-03-04,"The Bronx",13,13
2025-03-04,"Trenton",2,2
2025-03-04,"Union",1,1
2025-03-04,"Unknown",2,2
2025-03-04,"Villa Park",1,1
2025-03-04,"Voorhees Township",1,1
2025-03-04,"Washington",3,3
2025-03-04,"West Bloomfield",1,1
2025-03-04,"Wethersfield",1,1
2025-03-04,"Wilmington",2,2
2025-03-04,"Woodbury",1,1
2025-03-03,"Albany",2,2
2025-03-03,"Alexandria",1,1
2025-03-03,"Ashburn",1,1
2025-03-03,"Atco",1,1
2025-03-03,"Atlanta",1,1
2025-03-03,"Baltimore",2,2
2025-03-03,"Bayonne",1,1
2025-03-03,"Bergenfield",1,1
2025-03-03,"Birmingham",2,2
2025-03-03,"Boerne",1,1
2025-03-03,"Bound Brook",1,1
2025-03-03,"Brooklyn",83,83
2025-03-03,"Chaguanas",1,1
2025-03-03,"Cheltenham",1,1
2025-03-03,"Chestnut Hill",1,1
2025-03-03,"Chicago",2,2
2025-03-03,"Citrus Heights",1,1
2025-03-03,"Concord",2,2
2025-03-03,"Detroit",1,1
2025-03-03,"East Rutherford",1,1
2025-03-03,"Fair Lawn",2,2
2025-03-03,"Fairfax",1,1
2025-03-03,"Freeport",1,1
2025-03-03,"Hackensack",1,1
2025-03-03,"Hammonton",1,1
2025-03-03,"Hartford",1,1
2025-03-03,"Hempstead",2,2
2025-03-03,"Holtsville",1,1
2025-03-03,"Huntsville",1,1
2025-03-03,"Hyattsville",2,2
2025-03-03,"Irvington",6,6
2025-03-03,"Jackson",1,1
2025-03-03,"Jersey City",4,4
2025-03-03,"Juárez",1,1
2025-03-03,"Katy",1,1
2025-03-03,"Kearny",1,1
2025-03-03,"Lake Ariel",1,1
2025-03-03,"Lewisville",1,1
2025-03-03,"Long Beach",1,1
2025-03-03,"Mamaroneck",1,1
2025-03-03,"Massapequa Park",1,1
2025-03-03,"Mays Landing",1,1
2025-03-03,"McKeesport",1,1
2025-03-03,"Miami",1,1
2025-03-03,"Minneapolis",1,1
2025-03-03,"Montclair",1,1
2025-03-03,"Montreal",1,1
2025-03-03,"Mount Vernon",1,1
2025-03-03,"New Brunswick",1,1
2025-03-03,"New Hyde Park",1,1
2025-03-03,"New Orleans",1,1
2025-03-03,"New Rochelle",1,1
2025-03-03,"New York",63,63
2025-03-03,"Newark",6,6
2025-03-03,"North Brunswick",1,1
2025-03-03,"Ottawa",1,1
2025-03-03,"Paterson",2,2
2025-03-03,"Pembroke Pines",1,1
2025-03-03,"Philadelphia",19,19
2025-03-03,"Piedmont",1,1
2025-03-03,"Pittsburgh",4,4
2025-03-03,"Plainfield",2,2
2025-03-03,"Ponte Vedra Beach",1,1
2025-03-03,"Providence",2,2
2025-03-03,"Queens",23,23
2025-03-03,"Richmond",1,1
2025-03-03,"Rincon",1,1
2025-03-03,"Rotterdam",1,1
2025-03-03,"San Antonio",1,1
2025-03-03,"Sherman Oaks",1,1
2025-03-03,"Somerset",1,1
2025-03-03,"Stamford",1,1
2025-03-03,"Stratford",1,1
2025-03-03,"Sydney",1,1
2025-03-03,"Tallahassee",1,1
2025-03-03,"The Bronx",18,18
2025-03-03,"Union",1,1
2025-03-03,"Unknown",3,3
2025-03-03,"Vallejo",1,1
2025-03-03,"Washington",3,3
2025-03-03,"West Haven",1,1
2025-03-03,"West Orange",1,1
2025-03-03,"Yorktown Heights",1,1
2025-03-03,"Zurich",1,1
2025-03-02,"Ambler",1,1
2025-03-02,"Brooklyn",1,1
2025-03-02,"Freeport",1,1
2025-03-02,"Harare",1,1
2025-03-02,"Neptune City",1,1
2025-03-02,"New York",2,2
2025-03-02,"Port of Spain",1,1
2025-03-02,"Queens",1,1
2025-03-01,"Brooklyn",4,4
2025-03-01,"Cape Town",1,1
2025-03-01,"Indianapolis",1,1
2025-03-01,"New York",1,1
2025-03-01,"Queens",2,2
2025-03-01,"Unknown",1,1
2025-02-28,"Baltimore",1,1
2025-02-28,"Brooklyn",7,7
2025-02-28,"Cleveland",1,1
2025-02-28,"Des Plaines",1,1
2025-02-28,"Irvington",1,1
2025-02-28,"New York",4,4
2025-02-28,"Sanford",1,1
2025-02-28,"Springfield",1,1
2025-02-28,"The Bronx",1,1
2025-02-27,"Allentown",1,1
2025-02-27,"Asbury Park",1,1
2025-02-27,"Breckenridge",1,1
2025-02-27,"Brooklyn",8,8
2025-02-27,"Doylestown",1,1
2025-02-27,"Fontana",1,1
2025-02-27,"Irvington",1,1
2025-02-27,"Jersey City",1,1
2025-02-27,"Kingston",1,1
2025-02-27,"Lansdowne",1,1
2025-02-27,"Lewes",2,2
2025-02-27,"Miami",1,1
2025-02-27,"Missouri City",1,1
2025-02-27,"New Castle",1,1
2025-02-27,"New Haven",1,1
2025-02-27,"New York",14,14
2025-02-27,"Newark",1,1
2025-02-27,"North Bergen",2,2
2025-02-27,"Philadelphia",2,2
2025-02-27,"Queens",5,5
2025-02-27,"State College",1,1
2025-02-27,"The Bronx",1,1
2025-02-27,"Tuckerton",1,1
2025-02-27,"Washington",1,1
2025-02-26,"Aguadilla",1,1
2025-02-26,"Albany",1,1
2025-02-26,"Atlanta",1,1
2025-02-26,"Aurora",1,1
2025-02-26,"Baltimore",1,1
2025-02-26,"Brackenridge",2,2
2025-02-26,"Brooklyn",17,17
2025-02-26,"Buford",1,1
2025-02-26,"Columbus",1,1
2025-02-26,"Deer Park",1,1
2025-02-26,"Ebensburg",1,1
2025-02-26,"Encinitas",1,1
2025-02-26,"Floral Park",1,1
2025-02-26,"Fort Lee",1,1
2025-02-26,"Garfield",2,2
2025-02-26,"Hartford",2,2
2025-02-26,"Hyattsville",1,1
2025-02-26,"Irvington",3,3
2025-02-26,"Linden",2,2
2025-02-26,"Los Angeles",1,1
2025-02-26,"Lyndhurst",2,2
2025-02-26,"McDonough",1,1
2025-02-26,"Meriden",2,2
2025-02-26,"Milwaukee",1,1
2025-02-26,"Minneapolis",1,1
2025-02-26,"Monmouth Junction",1,1
2025-02-26,"Mount Vernon",1,1
2025-02-26,"Nashville",1,1
2025-02-26,"New York",19,19
2025-02-26,"Newark",3,3
2025-02-26,"Oakland",1,1
2025-02-26,"Orlando",1,1
2025-02-26,"Peachtree Corners",1,1
2025-02-26,"Philadelphia",4,4
2025-02-26,"Piscataway",1,1
2025-02-26,"Plainfield",1,1
2025-02-26,"Port Elizabeth",1,1
2025-02-26,"Pottstown",2,2
2025-02-26,"Queens",5,5
2025-02-26,"Roanoke",1,1
2025-02-26,"San Francisco",1,1
2025-02-26,"Staten Island",1,1
2025-02-26,"Stony Brook",1,1
2025-02-26,"Syracuse",1,1
2025-02-26,"The Bronx",5,5
2025-02-26,"Tolland",1,1
2025-02-26,"Trenton",2,2
2025-02-26,"Union City",1,1
2025-02-26,"Unknown",2,2
2025-02-26,"Upper Marlboro",1,1
2025-02-26,"West Springfield",1,1
2025-02-25,"Abington",1,1
2025-02-25,"Albany",2,2
2025-02-25,"Antioch",1,1
2025-02-25,"Arlington",4,4
2025-02-25,"Aston Mills",1,1
2025-02-25,"Atlanta",1,1
2025-02-25,"Baltimore",1,1
2025-02-25,"Bethel",1,1
2025-02-25,"Boston",5,5
2025-02-25,"Bridgeport",2,2
2025-02-25,"Bridgewater",1,1
2025-02-25,"Brooklyn",61,61
2025-02-25,"Bryn Mawr",1,1
2025-02-25,"Camp Hill",1,1
2025-02-25,"Charlotte",3,3
2025-02-25,"Charlotte Amalie",1,1
2025-02-25,"Chicago",1,1
2025-02-25,"Cicero",1,1
2025-02-25,"Clifton",1,1
2025-02-25,"Delmar",1,1
2025-02-25,"Denton",1,1
2025-02-25,"District Heights",1,1
2025-02-25,"East Islip",1,1
2025-02-25,"Ellenwood",1,1
2025-02-25,"Fairport",1,1
2025-02-25,"Fitchburg",2,2
2025-02-25,"Fords",1,1
2025-02-25,"Fort Myers",1,1
2025-02-25,"Freeport",1,1
2025-02-25,"Greenville",1,1
2025-02-25,"Hamden",2,2
2025-02-25,"Hampton",1,1
2025-02-25,"Hartford",2,2
2025-02-25,"Hopewell Junction",2,2
2025-02-25,"Huntsville",1,1
2025-02-25,"Hyde Park",1,1
2025-02-25,"Irvington",3,3
2025-02-25,"Kearny",1,1
2025-02-25,"Lambeth",2,2
2025-02-25,"Lanham",1,1
2025-02-25,"Levittown",1,1
2025-02-25,"Los Angeles",1,1
2025-02-25,"Lynn",1,1
2025-02-25,"Manchester",1,1
2025-02-25,"Manchester",1,1
2025-02-25,"Maplewood",1,1
2025-02-25,"Marlton",1,1
2025-02-25,"Memphis",1,1
2025-02-25,"Merrick",1,1
2025-02-25,"Middletown",1,1
2025-02-25,"Minneapolis",1,1
2025-02-25,"Monroe",1,1
2025-02-25,"Nashville",2,2
2025-02-25,"New Haven",1,1
2025-02-25,"New York",50,50
2025-02-25,"Newark",5,5
2025-02-25,"Newburgh",1,1
2025-02-25,"Norristown",1,1
2025-02-25,"North Bergen",1,1
2025-02-25,"O'Fallon",1,1
2025-02-25,"Oroville",3,3
2025-02-25,"Perth Amboy",1,1
2025-02-25,"Philadelphia",11,11
2025-02-25,"Pittsburgh",1,1
2025-02-25,"Port Charlotte",1,1
2025-02-25,"Poughkeepsie",1,1
2025-02-25,"Providence",1,1
2025-02-25,"Queens",13,13
2025-02-25,"Richmond",1,1
2025-02-25,"Ridgewood",1,1
2025-02-25,"Rockaway",1,1
2025-02-25,"Rockville",2,2
2025-02-25,"Roslyn",1,1
2025-02-25,"San Marcos",1,1
2025-02-25,"Scarsdale",1,1
2025-02-25,"Shaker Heights",1,1
2025-02-25,"Silver Spring",3,3
2025-02-25,"Somerset",1,1
2025-02-25,"Staten Island",2,2
2025-02-25,"Sterling Heights",1,1
2025-02-25,"Tallahassee",2,2
2025-02-25,"Tampa",1,1
2025-02-25,"The Bronx",4,4
2025-02-25,"Trenton",1,1
2025-02-25,"University Park",2,2
2025-02-25,"Unknown",2,2
2025-02-25,"Wappingers Falls",1,1
2025-02-25,"Warwick",1,1
2025-02-25,"Washington",6,6
2025-02-25,"West Columbia",1,1
2025-02-25,"West New York",1,1
2025-02-25,"West Orange",2,2
2025-02-25,"Whitsett",1,1
2025-02-25,"Wilmington",1,1
