Date,Name,Attendees,Orders
2025-03-10,"Birmingham",1,1
2025-03-10,"Brooklyn",8,8
2025-03-10,"Cape May",1,1
2025-03-10,"Framingham",1,1
2025-03-10,"Irvington",1,1
2025-03-10,"Lynn",2,2
2025-03-10,"Mineola",1,1
2025-03-10,"New York",8,8
2025-03-10,"Plainfield",4,4
2025-03-10,"Queens",2,2
2025-03-10,"Richmond",1,1
2025-03-10,"South Plainfield",1,1
2025-03-10,"Staten Island",2,2
2025-03-10,"Tarrytown",1,1
2025-03-09,"Brooklyn",7,7
2025-03-09,"Chatham",1,1
2025-03-09,"Cleveland",1,1
2025-03-09,"New York",4,4
2025-03-09,"Philadelphia",4,4
2025-03-09,"The Bronx",2,2
2025-03-09,"Union",1,1
2025-03-09,"Unknown",1,1
2025-03-09,"Wilmington",1,1
2025-03-09,"Yonkers",2,2
2025-03-08,"Brooklyn",9,9
2025-03-08,"Elmont",2,2
2025-03-08,"Fairburn",2,2
2025-03-08,"Hawthorne",1,1
2025-03-08,"Hempstead",1,1
2025-03-08,"Jersey City",1,1
2025-03-08,"Lebanon",1,1
2025-03-08,"Los Angeles",1,1
2025-03-08,"Masaya",1,1
2025-03-08,"Miami",1,1
2025-03-08,"New York",11,11
2025-03-08,"Newark",1,1
2025-03-08,"Queens",3,3
2025-03-08,"Tarrytown",1,1
2025-03-08,"The Bronx",3,3
2025-03-08,"Union City",1,1
2025-03-08,"West Hartford",1,1
2025-03-07,"Allentown",1,1
2025-03-07,"Annandale",1,1
2025-03-07,"Arouca",1,1
2025-03-07,"Baltimore",1,1
2025-03-07,"Beachwood",1,1
2025-03-07,"Boston",1,1
2025-03-07,"Brooklyn",24,24
2025-03-07,"Ceres",2,2
2025-03-07,"Chambersburg",1,1
2025-03-07,"Chicago",2,2
2025-03-07,"Crandall",1,1
2025-03-07,"Dallas",1,1
2025-03-07,"Fort Lee",2,2
2025-03-07,"Freeport",1,1
2025-03-07,"Garfield",1,1
2025-03-07,"Hawthorne",1,1
2025-03-07,"Hyattsville",1,1
2025-03-07,"Irving",1,1
2025-03-07,"Irvington",3,3
2025-03-07,"Jacksonville",1,1
2025-03-07,"Levittown",1,1
2025-03-07,"Miller Place",1,1
2025-03-07,"Montclair",1,1
2025-03-07,"Nanuet",1,1
2025-03-07,"Neptune City",1,1
2025-03-07,"New Brunswick",1,1
2025-03-07,"New Castle",2,2
2025-03-07,"New City",1,1
2025-03-07,"New Orleans",1,1
2025-03-07,"New York",21,21
2025-03-07,"Philadelphia",5,5
2025-03-07,"Pittsburgh",1,1
